date	minute	lat	lon	depth	mag
17-Apr-1992	810	47.605	-69.969	9.4	0.6
18-Apr-1992	384	47.576	-69.967	9.4	-0.2
20-Apr-1992	535	47.433	-70.175	18.9	1.9
30-Apr-1992	758	47.755	-70.016	7.1	1.6
30-Apr-1992	241	47.498	-70.049	11	0.3
01-May-1992	632	47.587	-69.942	11.6	0.3
01-May-1992	37	47.446	-70.407	2.7	3.2
02-May-1992	510	47.63	-70.221	4.4	1.7
04-May-1992	741	47.282	-70.436	5	0.6
05-May-1992	41	47.592	-69.951	11.3	2.3
06-May-1992	261	47.781	-69.964	14.2	0.3
09-May-1992	1105	47.834	-69.811	18	1.8
09-May-1992	296	47.502	-70.021	15.6	0.4
13-May-1992	624	47.41	-70.214	9.9	0
26-May-1992	534	47.594	-69.927	11.6	0.6
23-Jun-1992	1165	47.754	-70.045	8	0.5
28-Jun-1992	750	46.758	-71.475	6.5	3.3
04-Jul-1992	1304	47.745	-70.106	12.4	0.3
04-Jul-1992	880	47.004	-71.218	18	1.8
16-Jul-1992	208	47.792	-69.833	22.1	0.8
28-Jul-1992	607	47.486	-70.042	1.2	2.1
01-Aug-1992	418	47.673	-70.157	12.8	1.7
06-Aug-1992	789	47.439	-70.409	2.8	0.9
12-Aug-1992	374	47.623	-69.841	16.5	0.2
12-Aug-1992	242	47.625	-70.013	0	-0.2
14-Aug-1992	610	47.446	-70.431	7.1	-0.2
16-Aug-1992	1266	47.427	-70.356	7.6	0.2
16-Aug-1992	1131	47.573	-70.041	10.5	0.4
16-Aug-1992	1001	48.002	-70.063	20.5	0.7
17-Aug-1992	775	47.483	-70.091	14.2	0.4
18-Aug-1992	1212	47.691	-70.206	0	0.2
25-Aug-1992	958	47.699	-70.097	11.2	1.5
26-Aug-1992	1322	47.967	-69.872	0	0.4
27-Aug-1992	1339	47.685	-70.187	0	2
28-Aug-1992	1380	46.697	-71.123	6	3.6
30-Aug-1992	531	47.225	-70.363	8.7	1.4
08-Sep-1992	1248	47.489	-70.367	7.3	2
10-Sep-1992	397	47.566	-69.911	14.8	0
12-Sep-1992	123	47.562	-69.988	15	0.5
14-Sep-1992	1238	47.423	-70.421	6	0.8
26-Sep-1992	99	47.477	-70.115	14	0.1
04-Oct-1992	876	47.892	-70.055	18	0.5
11-Oct-1992	1139	47.814	-69.948	20.3	0.2
12-Oct-1992	473	47.475	-70.112	15	0.1
24-Oct-1992	907	47.368	-70.125	15.1	0.6
09-Nov-1992	1077	47.386	-70.249	12.1	0.1
09-Nov-1992	615	47.661	-70.071	16.4	1.5
17-Nov-1992	897	47.6	-69.986	9.2	0.4
23-Nov-1992	653	46.975	-71.164	18	2.4
23-Nov-1992	127	47.415	-70.461	7.2	0.7
24-Nov-1992	890	46.737	-71.184	12	2.8
26-Nov-1992	450	47.424	-70.395	14.4	0.6
30-Nov-1992	1140	47.503	-70.138	12.1	0.4
02-Dec-1992	1226	47.822	-69.996	6.8	2.1
03-Dec-1992	602	47.61	-70.175	11.8	2
07-Dec-1992	967	48.019	-70.149	0	0.9
21-Dec-1992	1103	47.969	-69.463	0	0.9
31-Dec-1992	89	47.716	-70.074	10.8	0.7
02-Jan-1993	1089	47.63	-69.901	12.6	0.3
08-Jan-1993	172	47.597	-70.22	2.7	0.4
09-Jan-1993	1120	47.476	-69.977	13.8	1.6
14-Jan-1993	392	47.62	-70.171	14.5	1.5
19-Jan-1993	1426	47.451	-70.024	11.7	0.4
19-Jan-1993	106	47.451	-70.024	11.7	0.5
21-Jan-1993	63	47.837	-69.98	18.2	0.6
22-Jan-1993	211	47.474	-69.962	14.9	0.4
23-Jan-1993	99	47.518	-70.119	22.4	0.7
26-Jan-1993	400	47.561	-70.026	13	0.2
12-Feb-1993	546	47.775	-70.149	8	2.2
14-Feb-1993	1085	47.544	-70.171	18.4	0.1
16-Feb-1993	522	47.82	-69.969	19.5	0.2
20-Feb-1993	356	47.409	-70.082	17.2	1.7
21-Feb-1993	397	47.816	-69.779	10	0.2
