    -0.01651     -0.00697     -0.00667
     1.91878     -0.01411     -0.00483     -0.01515
     0.34950     -0.01238     -0.00553     -0.02882
     1.47163     -0.01509     -0.01053     -0.01464
     0.68605     -0.01587     -0.00701     -0.01791
     0.47859     -0.01201     -0.00609     -0.01514
     0.20167     -0.01425     -0.02070     -0.02019
     1.83378     -0.01163     -0.00709     -0.00249
     1.74848     -0.01204     -0.00622     -0.01523
     0.18970     -0.01205     -0.00738     -0.01479
     0.28262     -0.01203     -0.00207     -0.01737
     0.51038     -0.01421     -0.00377     -0.00804
     1.13341     -0.01503     -0.00738     -0.01622
     0.37945     -0.02277      0.00664     -0.00877
     2.24726     -0.01101     -0.00313     -0.00511
     1.47991     -0.01064     -0.00683     -0.01854
     0.29656     -0.01471     -0.00464     -0.02780
     1.39220     -0.01313     -0.00696     -0.01384
     0.38710     -0.02174     -0.01335     -0.01133
     1.59904     -0.01105     -0.00607     -0.01573
     0.19053     -0.01150     -0.00592     -0.01870
     0.25135     -0.01118     -0.00649     -0.01728
     0.14241     -0.00892     -0.01052     -0.01456
     0.71428     -0.01211     -0.00610     -0.01670
     0.01952     -0.01107     -0.00952     -0.01357
     0.57974     -0.00524     -0.00732     -0.01556
     0.87229     -0.01189     -0.00727     -0.01864
     0.26352     -0.01232     -0.00591     -0.00807
     1.06282     -0.01514     -0.00691     -0.01396
     0.50409     -0.01397     -0.01057     -0.01760
     0.58299     -0.01285     -0.00873     -0.00505
     1.46578     -0.02324      0.00386     -0.01493
     1.83669     -0.01284     -0.00926     -0.01964
     0.51617     -0.01195     -0.00507     -0.01168
     0.63811     -0.01332     -0.00716     -0.01576
     0.21867     -0.00935     -0.00848     -0.01570
     0.46306     -0.01259     -0.00573     -0.01515
     0.21192     -0.01310     -0.00402     -0.01576
     0.31483     -0.02259     -0.00687     -0.01898
     1.29844     -0.00464     -0.00591     -0.02425
     1.29697     -0.00588     -0.01704     -0.01234
     1.62264     -0.01218     -0.00582     -0.02163
     0.59350     -0.01049     -0.00532     -0.01625
     0.24317     -0.00476     -0.01599     -0.01623
     1.50040     -0.01158     -0.00615     -0.02751
     1.31159     -0.01160     -0.00603     -0.01681
     0.07622     -0.01115     -0.00763     -0.01340
     0.46517     -0.01140     -0.00286     -0.01517
     0.46352     -0.01143     -0.00502     -0.01716
     0.17910     -0.00799     -0.01820     -0.01055
     1.72693     -0.01234     -0.00633     -0.01685
     0.02445     -0.01019     -0.00656     -0.01664
     0.24989     -0.01166     -0.00694     -0.01784
     0.17031     -0.01243     -0.00675     -0.02208
     0.65014     -0.01211     -0.00614     -0.01388
     0.35457     -0.01314     -0.01686     -0.02382
     1.56172     -0.01432     -0.00398     -0.01691
     0.37602     -0.01142     -0.00574     -0.01144
     0.66078     -0.01111     -0.00700     -0.01598
     0.19090     -0.01076     -0.00624     -0.03003
     1.62582     -0.01294     -0.00199     -0.01273
     0.71921     -0.01218     -0.00740     -0.01844
     0.24907     -0.02218      0.00428     -0.01520
     1.77653     -0.01209     -0.00614     -0.00916
     0.92982     -0.00947     -0.00367     -0.01873
     0.51257     -0.01458     -0.00690     -0.02111
     0.60887     -0.01308     -0.00663     -0.02800
     1.37336     -0.01364     -0.00583     -0.01183
     0.63098     -0.01311     -0.00558     -0.00678
     1.22674     -0.01102     -0.01137     -0.02224
     0.92730     -0.00976     -0.00568     -0.01339
     0.51350     -0.01227     -0.00621     -0.01640
     0.04752     -0.01038     -0.00608     -0.01109
     0.72875     -0.02031     -0.00001     -0.00543
     1.86251     -0.01038     -0.00672     -0.01970
     0.42477     -0.01607     -0.00097     -0.00657
     1.47790     -0.01593     -0.01632     -0.01529
     1.32713     -0.01130     -0.00825     -0.01594
     0.29045     -0.00672     -0.01035     -0.01904
     0.88244     -0.01627     -0.00594     -0.01805
     0.52068     -0.01804     -0.01027     -0.02649
     1.46798     -0.01949     -0.01124     -0.01316
     1.16702     -0.01206     -0.00618     -0.01866
     0.23008     -0.01569     -0.00756     -0.01830
     0.49306     -0.01235      0.00009     -0.01036
     1.09702     -0.00692      0.00682     -0.00345
     2.36369     -0.00949     -0.01008     -0.01852
     0.61411     -0.01822     -0.00489     -0.01340
     0.85734     -0.00585     -0.00872     -0.00245
     1.93621     -0.01488      0.00259     -0.02189
     1.28391     -0.01117     -0.00569      0.00007
     2.05979     -0.01160     -0.00706     -0.01195
     0.60250     -0.01243     -0.00581     -0.01370
     0.37966     -0.01238     -0.00609     -0.01865
     0.23009     -0.01237     -0.00536     -0.01942
     0.33908     -0.00134     -0.00778     -0.02783
     1.89969     -0.01408     -0.00598     -0.01400
     0.41071     -0.01272     -0.00592     -0.01842
     0.21308     -0.00907      0.00667     -0.01740
     1.61802     -0.01096     -0.00740     -0.01871
     0.31555     -0.01119     -0.00582     -0.01743
     0.15379     -0.01198     -0.00747     -0.03280
     1.96057     -0.01798     -0.01044     -0.03454
     2.33352     -0.01338     -0.00476     -0.02457
     0.97694     -0.01118     -0.00514     -0.01182
     0.63115     -0.01117     -0.00377     -0.01398
     0.46968     -0.01158     -0.00703     -0.01686
     0.12595     -0.01274     -0.00751     -0.02041
     0.47548     -0.01191     -0.00611     -0.01677
     0.03697     -0.00831     -0.01018     -0.01705
     0.67807     -0.02410     -0.00871     -0.01369
     1.53012     -0.01225     -0.00583     -0.01620
     0.08482     -0.01926     -0.00967     -0.01830
     0.97760     -0.00911     -0.00479     -0.02587
     1.18363     -0.01597     -0.00603      0.00097
     2.21335     -0.01308     -0.00547     -0.01615
     0.15965     -0.00869      0.00846     -0.02197
     1.94129     -0.01201     -0.00638     -0.01664
     0.03601     -0.00746     -0.00710     -0.01997
     0.70513     -0.00298     -0.00640     -0.01972
     1.18055     -0.01541      0.00235     -0.01166
     1.27821     -0.01723     -0.00952     -0.01961
     0.81184     -0.01197     -0.00452     -0.01944
     0.38582     -0.01081     -0.00757     -0.02257
     0.74468     -0.01187     -0.00336     -0.01524
     0.39724     -0.00898     -0.00681     -0.01885
     0.47282     -0.01250     -0.00584     -0.01562
     0.15332     -0.01445     -0.00513     -0.01730
     0.31073     -0.01210     -0.01295     -0.01908
     0.86950     -0.01254     -0.00530     -0.01976
     0.38235     -0.01248     -0.00365     -0.01608
     0.32537     -0.01036     -0.00627     -0.02031
     0.48507     -0.01243     -0.00385     -0.01599
     0.30487     -0.02038     -0.00319     -0.01943
     1.11191     -0.01285     -0.00605     -0.01551
     0.17474     -0.02383     -0.00940     -0.00811
     1.81237     -0.01209     -0.00636     -0.01715
     0.05031     -0.01115     -0.00912     -0.01704
     0.37906     -0.01542     -0.00285     -0.00943
     1.06136     -0.01129     -0.00703     -0.01695
     0.15096     -0.01413     -0.00640     -0.01792
     0.27430     -0.00963     -0.00298     -0.01995
     0.63417     -0.01695     -0.01027     -0.02143
     0.95116     -0.01064     -0.00768     -0.01601
     0.27787     -0.01254     -0.01086     -0.01371
     0.68145     -0.01108     -0.00652     -0.01979
     0.39417     -0.02435      0.00033     -0.01653
     1.68369     -0.00866     -0.00586     -0.00225
     1.82416     -0.01231     -0.00755     -0.02273
     0.74481     -0.01109     -0.00506     -0.01611
     0.21085     -0.01337     -0.00725     -0.01552
     0.24544     -0.01119     -0.00475     -0.01540
     0.27375     -0.00872     -0.00655     -0.02190
     0.75596     -0.01606     -0.00340     -0.01207
     0.81838     -0.01221     -0.00401     -0.02219
     0.71215     -0.01219     -0.00623     -0.01482
     0.23908     -0.00976     -0.00730     -0.01829
     0.37400     -0.01124     -0.00605     -0.01836
     0.22673     -0.00780     -0.00020     -0.02355
     1.22720     -0.01724     -0.01552     -0.01204
     1.41470     -0.01354     -0.00669     -0.01933
     0.35627     -0.02110      0.00332     -0.01754
     1.59315     -0.01228     -0.00593     -0.01407
     0.33303     -0.01014     -0.00022     -0.01700
     0.77263     -0.01282     -0.00810     -0.01498
     0.32764     -0.01159     -0.00494     -0.02051
     0.48651     -0.01323     -0.00881     -0.02354
     0.89269     -0.01603     -0.00848      0.00205
     2.34750     -0.01364     -0.00370     -0.01993
     0.52185     -0.00582     -0.01050     -0.01895
     0.97494     -0.01400     -0.00615     -0.01323
     0.48524     -0.01140     -0.00348     -0.01426
     0.46373     -0.01263     -0.00654     -0.01638
     0.08321     -0.00902     -0.00256     -0.02392
     1.05202     -0.00570     -0.00337     -0.01279
     0.99306     -0.00879     -0.00533     -0.01990
     0.57384     -0.01400     -0.00700     -0.01934
     0.39342     -0.01203     -0.00575     -0.00810
     1.05990     -0.01265     -0.00671     -0.01513
     0.21761     -0.01510     -0.00776     -0.00844
     1.09337     -0.01223     -0.00625     -0.01885
     0.25281     -0.01187     -0.00614     -0.01696
     0.04682     -0.01037     -0.00227     -0.01591
     0.54013      0.00539     -0.02143     -0.02118
     2.87587     -0.01115     -0.00550     -0.01625
     0.16743     -0.01250     -0.00537     -0.01642
     0.11727     -0.01008     -0.00517     -0.03205
     1.88429     -0.00194     -0.00264     -0.02055
     1.40234     -0.01169     -0.00655     -0.03294
     1.97322     -0.01979     -0.00088     -0.01858
     1.15225     -0.01161     -0.00458     -0.02318
     0.80919     -0.01614     -0.00939     -0.01703
     0.61885     -0.01378     -0.00672     -0.02886
     1.48715     -0.01183     -0.00615     -0.01630
     0.07388     -0.01397     -0.00848     -0.01660
     0.35142     -0.01964     -0.01695     -0.01903
     1.61725     -0.00839     -0.00268     -0.02250
     0.94210     -0.01263     -0.00553     -0.01598
     0.13835     -0.01571      0.00791     -0.03621
     2.93654     -0.00805     -0.01088     -0.02070
     0.89927     -0.01638     -0.00186     -0.02105
     0.90127     -0.01750     -0.00435     -0.01451
     0.73900     -0.00673     -0.00813     -0.01685
     0.70736     -0.00728     -0.01395     -0.01094
     1.32657     -0.01003      0.00097     -0.00894
     1.32340     -0.01176     -0.00579     -0.01314
     0.45009     -0.01626     -0.00509     -0.01344
     0.65585     -0.01412     -0.00098     -0.01542
     0.69905     -0.01213     -0.00683     -0.01595
     0.12614     -0.01303     -0.00934     -0.01161
     0.74389     -0.01234     -0.00618     -0.00199
     1.80410     -0.01357     -0.00328     -0.01854
     0.44893     -0.02064     -0.00113     -0.01844
     1.21878     -0.00752     -0.00919     -0.01203
     0.89134     -0.01074     -0.00011     -0.02101
     0.92280     -0.02041     -0.01257     -0.01199
     1.39595     -0.01209     -0.00616     -0.01678
     0.01417     -0.01399     -0.00281     -0.01193
     0.75475     -0.01142     -0.00873     -0.02056
     0.56282     -0.01257     -0.00577     -0.01192
     0.59715     -0.01347     -0.01308     -0.01623
     0.85503     -0.01147     -0.01036     -0.01375
     0.63345     -0.00891     -0.01163     -0.01983
     0.85903     -0.01344     -0.00553     -0.00358
     1.61983     -0.01613     -0.00719     -0.01931
     0.58233     -0.01024     -0.00611     -0.01603
     0.25557     -0.01314      0.00586     -0.01360
     1.52598     -0.01240     -0.00724     -0.01841
     0.23698     -0.01570     -0.00570     -0.01545
     0.46086     -0.01195     -0.00612     -0.01701
     0.04288     -0.01233     -0.01057     -0.02253
     0.88086     -0.01308      0.00218     -0.01481
     1.05684     -0.00962     -0.00346     -0.01999
     0.60385     -0.01218     -0.00628     -0.02088
     0.50011     -0.01181     -0.00460     -0.00936
