    -0.08949     -0.01983      0.16456
     1.29199     -0.00114     -0.00516     -0.20939
     1.12941     -0.00145     -0.00307     -0.01737
     0.06563      0.00655     -0.03177      0.04386
     0.40055      0.00208      0.05384      0.01219
     0.39914      0.00164      0.01514     -0.02363
     0.15423      0.06337     -0.22140      0.09508
     1.48706     -0.01479     -0.00841     -0.01795
     0.02106      0.02393     -0.01254     -0.01432
     0.21518     -0.00250     -0.01937     -0.03576
     0.14665     -0.01641     -0.01588     -0.11183
     0.55984     -0.01066     -0.00504      0.03534
     0.30532     -0.02909     -0.19736     -0.14307
     1.34480     -0.05032      0.03380     -0.01913
     0.32379      0.00170      0.00226      0.07905
     0.56900      0.00734     -0.02038     -0.00243
     0.16438      0.01357     -0.00685     -0.25454
     1.40000     -0.02559      0.06942      0.05597
     0.61931     -0.01192     -0.02756     -0.04655
     0.21447     -0.19138      0.18190      0.01149
     1.52978     -0.01028     -0.00491      0.11998
     0.80067      0.03674      0.03930     -0.05168
     0.44138     -0.05494     -0.01865     -0.09450
     0.52430     -0.02807     -0.01374     -0.21803
     1.18260     -0.03809      0.00061      0.07209
     0.54334     -0.02851      0.00503      0.16258
     1.05635      0.00887     -0.09884     -0.11467
     0.79850      0.03156      0.00329      0.04405
     0.44218     -0.01350     -0.00630     -0.00991
     0.04092      0.02045     -0.00387      0.08530
     0.62752     -0.15782      0.10502      0.18689
     1.60380      0.02044     -0.01541     -0.06926
     0.36577     -0.08173      0.08786      0.16646
     1.27262     -0.07919     -0.18761      0.00997
     1.14279      0.00387     -0.04282     -0.00172
     0.25010      0.08617     -0.08054     -0.05737
     0.75987     -0.08518     -0.00148     -0.03954
     0.44836     -0.11696     -0.07917     -0.19093
     1.26408     -0.14295     -0.09648      0.04822
     1.00492     -0.00974     -0.00579     -0.05053
     0.19813     -0.07483     -0.03056     -0.04406
     0.42457     -0.01487      0.10682      0.09836
     0.94464      0.08258      0.22759      0.22248
     2.03538      0.03632     -0.07574     -0.04795
     0.52881     -0.12023      0.01750      0.04382
     0.73825      0.10167     -0.05137      0.24034
     1.66727     -0.06040      0.15169     -0.10850
     1.10558      0.00630      0.00309      0.28550
     1.77368     -0.00145     -0.02142      0.06987
     0.51881     -0.01636      0.00089      0.03846
     0.32692     -0.01545     -0.00415     -0.05040
     0.19813     -0.01519      0.00898     -0.06419
     0.29198      0.18273     -0.03443     -0.21500
     1.63582     -0.04591     -0.00210      0.03319
     0.35366     -0.02163     -0.00113     -0.04624
     0.18349      0.04403      0.22479     -0.02785
     1.39328      0.01008     -0.02758     -0.05144
     0.27172      0.00594      0.00066     -0.02842
     0.13243     -0.00821     -0.02882     -0.30426
     1.68825     -0.11587     -0.08210     -0.33555
     2.00898     -0.03333      0.01981     -0.15652
     0.84124      0.00609      0.01294      0.07220
     0.54348      0.00621      0.03760      0.03337
     0.40444     -0.00109     -0.02096     -0.01831
     0.10846     -0.02187     -0.02962     -0.08197
     0.40943     -0.00704     -0.00452     -0.01656
     0.03184      0.05749     -0.07740     -0.02156
