    -0.02348     -0.00820      0.00968
     1.96061     -0.01126     -0.00673      0.00764
     1.12369     -0.02332     -0.02147     -0.02207
     0.90169      0.00550     -0.02098     -0.02994
     1.22021     -0.01463     -0.00161     -0.03843
     1.02361     -0.01040     -0.01133     -0.00628
     0.54372     -0.01125     -0.00553     -0.02365
     0.32034     -0.01205     -0.00594     -0.00365
     0.60391     -0.01939     -0.00843     -0.00462
     0.65733     -0.00651     -0.01929     -0.01601
     0.65682     -0.03374      0.00461     -0.03081
     1.28219     -0.01163     -0.00601     -0.01664
     0.02848     -0.00986     -0.00548     -0.01342
     0.19138     -0.01040     -0.00794     -0.00944
     0.35636     -0.01863      0.00278     -0.02435
     0.61616     -0.01518     -0.00337     -0.02631
     0.47719     -0.00522      0.01920     -0.05436
     2.10477     -0.01421     -0.00084     -0.02032
     0.30976      0.01345     -0.03108     -0.02234
     1.66233      0.00501     -0.00715      0.01855
     1.80735     -0.01686      0.00099     -0.03711
     1.01442     -0.01531     -0.01718     -0.00697
     0.69164     -0.00806      0.00134     -0.01106
     0.47513     -0.00148      0.02299     -0.00607
     1.51262      0.01461     -0.00215      0.01421
     1.89333     -0.01720     -0.00261     -0.01250
     0.34487     -0.01269     -0.00444     -0.04831
     1.45211     -0.01977     -0.01753     -0.01118
     0.67695     -0.02181     -0.00830     -0.01974
     0.47224     -0.01170     -0.00590     -0.01249
     0.19899     -0.01757     -0.04416     -0.02572
     1.80945     -0.01070     -0.00852      0.02064
     1.72529     -0.01178     -0.00624     -0.01273
     0.18718     -0.01180     -0.00928     -0.01157
     0.27887     -0.01175      0.00463     -0.01832
     0.50361     -0.01746      0.00016      0.00610
     1.11837     -0.01960     -0.00928     -0.01532
     0.37441     -0.03986      0.02742      0.00418
     2.21740     -0.00909      0.00185      0.01378
     1.46028     -0.00812     -0.00784     -0.02139
     0.29262     -0.01877     -0.00210     -0.04564
     1.37373     -0.01465     -0.00817     -0.00909
     0.38197     -0.03719     -0.02491     -0.00251
     1.57783     -0.00920     -0.00586     -0.01402
     0.18801     -0.01037     -0.00546     -0.02180
     0.24802     -0.00953     -0.00693     -0.01809
     0.14052     -0.00362     -0.01751     -0.01098
     0.70481     -0.01197     -0.00592     -0.01657
     0.01926     -0.00924     -0.01489     -0.00837
     0.57205      0.00602     -0.00912     -0.01359
     0.86072     -0.01140     -0.00899     -0.02164
     0.26003     -0.01251     -0.00543      0.00601
     1.04873     -0.01989     -0.00805     -0.00940
     0.49740     -0.01683     -0.01763     -0.01894
     0.57525     -0.01390     -0.01281      0.01393
     1.44634     -0.04111      0.02014     -0.01194
     1.81232     -0.01388     -0.01419     -0.02427
     0.50933     -0.01154     -0.00324     -0.00343
     0.62965     -0.01514     -0.00871     -0.01411
     0.21577     -0.00475     -0.01215     -0.01396
     0.45691     -0.01322     -0.00497     -0.01252
     0.20911     -0.01456     -0.00047     -0.01411
     0.31065     -0.03941     -0.00795     -0.02255
     1.28122      0.00760     -0.00543     -0.03633
     1.27977      0.00434     -0.03457     -0.00517
     1.60111     -0.01215     -0.00520     -0.02948
     0.58562     -0.00774     -0.00389     -0.01539
     0.23995      0.00728     -0.03181     -0.01535
     1.48050     -0.01058     -0.00605     -0.04488
     1.29420     -0.01063     -0.00575     -0.01687
     0.07521     -0.00946     -0.00994     -0.00793
     0.45900     -0.01012      0.00255     -0.01255
     0.45737     -0.01018     -0.00309     -0.01778
     0.17673     -0.00117     -0.03760     -0.00046
     1.70403     -0.01258     -0.00653     -0.01695
     0.02413     -0.00693     -0.00713     -0.01642
     0.24658     -0.01078     -0.00813     -0.01955
     0.16805     -0.01281     -0.00762     -0.03065
     0.64152     -0.01197     -0.00604     -0.00918
     0.34986     -0.01466     -0.03410     -0.03521
     1.54101     -0.01776     -0.00037     -0.01712
     0.37103     -0.01017     -0.00497     -0.00280
     0.65201     -0.00935     -0.00828     -0.01469
     0.18837     -0.00844     -0.00630     -0.05147
     1.60426     -0.01415      0.00483     -0.00617
     0.70967     -0.01216     -0.00932     -0.02112
     0.24577     -0.03834      0.02124     -0.01266
     1.75297     -0.01192     -0.00602      0.00317
     0.91749     -0.00506      0.00043     -0.02187
     0.50577     -0.01843     -0.00802     -0.02812
     0.60079     -0.01451     -0.00731     -0.04614
     1.35514     -0.01598     -0.00521     -0.00381
     0.62261     -0.01458     -0.00457      0.00939
     1.21047     -0.00913     -0.01972     -0.03106
     0.91500     -0.00581     -0.00482     -0.00790
     0.50669     -0.01239     -0.00622     -0.01578
     0.04689     -0.00744     -0.00587     -0.00189
     0.71908     -0.03345      0.01002      0.01294
     1.83780     -0.00744     -0.00755     -0.02444
     0.41914     -0.02234      0.00752      0.00995
     1.45830     -0.02197     -0.03267     -0.01288
     1.30953     -0.00985     -0.01155     -0.01458
     0.28659      0.00215     -0.01705     -0.02270
     0.87073     -0.02285     -0.00552     -0.02010
     0.51377     -0.02748     -0.01685     -0.04219
     1.44851     -0.03127     -0.01938     -0.00730
     1.15154     -0.01184     -0.00615     -0.02170
     0.22703     -0.02134     -0.00976     -0.02076
     0.48652     -0.01259      0.01028      0.00002
     1.08247      0.00163      0.02790      0.01813
     2.33234     -0.00512     -0.01635     -0.02133
     0.60597     -0.02796     -0.00275     -0.00794
     0.84596      0.00441     -0.01280      0.02073
     1.91053     -0.01923      0.01683     -0.03016
     1.26688     -0.00950     -0.00485      0.02732
     2.03247     -0.01063     -0.00843     -0.00414
     0.59451     -0.01281     -0.00517     -0.00872
     0.37462     -0.01267     -0.00591     -0.02169
     0.22704     -0.01264     -0.00399     -0.02370
     0.33458      0.01624     -0.01032     -0.04570
     1.87449     -0.01712     -0.00561     -0.00949
     0.40526     -0.01357     -0.00547     -0.02108
     0.21026     -0.00399      0.02750     -0.01840
     1.59656     -0.00895     -0.00933     -0.02184
     0.31136     -0.00955     -0.00520     -0.01848
     0.15175     -0.01162     -0.00951     -0.05872
     1.93457     -0.02732     -0.01728     -0.06329
     2.30253     -0.01528     -0.00241     -0.03717
     0.96398     -0.00953     -0.00341     -0.00380
     0.62278     -0.00951      0.00018     -0.00946
     0.46345     -0.01058     -0.00836     -0.01700
     0.12428     -0.01361     -0.00962     -0.02629
     0.46917     -0.01145     -0.00596     -0.01675
     0.03648     -0.00203     -0.01660     -0.01748
     0.66908     -0.04335     -0.01275     -0.00869
     1.50983     -0.01232     -0.00522     -0.01526
     0.08369     -0.03070     -0.01527     -0.02076
     0.96463     -0.00412     -0.00249     -0.04057
     1.16794     -0.02207     -0.00574      0.02968
     2.18399     -0.01451     -0.00429     -0.01513
     0.15753     -0.00302      0.03220     -0.03037
     1.91548     -0.01169     -0.00666     -0.01641
     0.03553      0.00020     -0.00855     -0.02513
     0.69577      0.01194     -0.00672     -0.02447
     1.16489     -0.02062      0.01620     -0.00339
     1.26125     -0.02537     -0.01488     -0.02420
     0.80107     -0.01160     -0.00178     -0.02375
     0.38071     -0.00855     -0.00977     -0.03193
     0.73480     -0.01134      0.00126     -0.01275
     0.39197     -0.00377     -0.00779     -0.02220
     0.46655     -0.01300     -0.00524     -0.01374
     0.15128     -0.01808     -0.00339     -0.01815
     0.30661     -0.01193     -0.02386     -0.02281
     0.85797     -0.01309     -0.00382     -0.02458
     0.37728     -0.01292      0.00049     -0.01494
     0.32106     -0.00740     -0.00637     -0.02602
     0.47863     -0.01279     -0.00003     -0.01472
     0.30082     -0.03362      0.00170     -0.02371
     1.09716     -0.01389     -0.00580     -0.01346
     0.17243     -0.04266     -0.01457      0.00592
     1.78833     -0.01190     -0.00661     -0.01774
     0.04964     -0.00946     -0.01384     -0.01747
     0.37404     -0.02063      0.00259      0.00246
     1.04728     -0.00983     -0.00837     -0.01722
     0.14896     -0.01725     -0.00671     -0.01976
     0.27066     -0.00548      0.00224     -0.02507
     0.62576     -0.02465     -0.01685     -0.02897
     0.93854     -0.00812     -0.01006     -0.01476
     0.27418     -0.01309     -0.01840     -0.00875
     0.67241     -0.00927     -0.00704     -0.02467
     0.38894     -0.04402      0.01090     -0.01613
     1.66136     -0.00294     -0.00529      0.02125
     1.79997     -0.01250     -0.00973     -0.03237
     0.73494     -0.00929     -0.00322     -0.01503
     0.20805     -0.01526     -0.00894     -0.01348
     0.24219     -0.00955     -0.00240     -0.01318
     0.27012     -0.00309     -0.00711     -0.03017
     0.74593     -0.02231      0.00114     -0.00444
     0.80752     -0.01222     -0.00045     -0.03094
     0.70270     -0.01217     -0.00627     -0.01165
     0.23591     -0.00582     -0.00908     -0.02073
     0.36904     -0.00969     -0.00579     -0.02093
